Agency,Date Migrated,System,Category,Document,Total,New,Updated,Migrated,Skipped,Time in minutes,Items/minute
Pendleton Place (SC),2/10/2022,FC,Medications,F_MEDICATION,807,0,800,800,7,3,266.7
Pendleton Place (SC),2/10/2022,FC,Goals,F_GOAL,481,0,166,166,315,1,166
Pendleton Place (SC),2/10/2022,FC,Case People,F_RELATIONSHIP,801,0,346,346,455,1,346
Pendleton Place (CBS > Clients),2/10/2022,FC,Clients,F_CLIENT,"4,842",0,"4,842","4,842",0,80,60.5
Pendleton Place (CBS > Clients),2/10/2022,FC,Medications,F_MEDICATION,807,0,314,314,493,1,314
Pendleton Place (CBS > Clients),2/10/2022,FC,Goals,F_GOAL,481,0,421,421,60,1,421
Pendleton Place (CBS > Clients),2/10/2022,FC,Case People,F_RELATIONSHIP,801,0,535,535,266,1,535
Pendleton Place (CBS > Families),2/10/2022,FC,Families,F_CLIENT,"1,336",0,"1,336","1,336",0,19,70.3
Pendleton Place (CBS > Families),2/10/2022,FC,Medications,F_MEDICATION,807,0,314,314,493,1,314
Pendleton Place (CBS > Families),2/10/2022,FC,Goals,F_GOAL,481,0,429,429,52,1,429
Pendleton Place (CBS > Families),2/10/2022,FC,Case People,F_RELATIONSHIP,"4,005",0,"3,727","3,727",278,4,931.8
Redwood (Foster Home),11/18/2021,FC,Clients,F_CLIENT,140,0,140,140,0,2,70
Redwood (Foster Home),11/18/2021,FC,Assign Staff > Clients,F_CLIENT,150,0,38,38,112,1,38
Redwood (Foster Home),11/18/2021,FC,Homes,F_PROVIDER,64,0,64,64,0,1,64
Redwood (Foster Home),11/18/2021,FC,Placements,F_PLACEMENT,103,0,91,91,12,3,30.3
Redwood (Foster Home),11/18/2021,FC,Case People,F_RELATIONSHIP,76,0,56,56,20,0.5,112
Redwood (Foster Home),11/18/2021,FC,Home People,F_HOUSEMEMBER,121,0,36,36,85,0.5,72
Redwood (Foster Home),11/18/2021,FC,Professionals to Add…,F_CONTACT,37,0,37,37,0,1,37
Redwood (Residential),11/18/2021,FC,Clients,F_CLIENT,58,0,58,58,0,1,58
Redwood (Residential),11/18/2021,FC,Assign Staff > Clients,F_CLIENT,150,0,38,38,112,1,38
Redwood (Residential),11/18/2021,FC,Homes,F_PROVIDER,4,0,4,4,0,0.5,8
Redwood (Residential),11/18/2021,FC,Placements,F_PLACEMENT,103,0,91,91,12,1,91
Redwood (Residential),11/18/2021,FC,Case People,F_RELATIONSHIP,76,0,56,56,20,0.5,112
Redwood (Residential),11/18/2021,FC,Home People,F_HOUSEMEMBER,121,0,36,36,85,0.5,72
Redwood (Residential),11/18/2021,FC,Professionals to Add…,F_CONTACT,37,0,37,37,0,1,37
SE Childrens Home,10/28/2021,FC,Clients,F_CLIENT,112,0,112,112,0,3,37.3
SE Childrens Home,10/28/2021,FC,Homes,F_PROVIDER,3,0,3,3,0,0.5,6
SE Childrens Home,10/28/2021,FC,Placements,F_PLACEMENT,112,0,119,119,-7,2,59.5
SE Childrens Home,10/28/2021,FC,Medications,F_MEDICATION,228,0,224,224,4,1,224
SE Childrens Home,10/28/2021,FC,Goals,F_GOAL,7,0,5,5,2,0.5,10
SE Childrens Home,10/28/2021,FC,ICD,F_CLIENT,29,0,29,29,0,2,14.5
SE Childrens Home,10/28/2021,FC,Case People,F_RELATIONSHIP,25,0,25,25,0,1,25
SE Childrens Home,10/28/2021,FC,Professionals to Add…,F_CONTACT,9,0,9,9,0,0.5,18
Whites (Compass Rose Academy),12/30/2021,FC,Clients,F_CLIENT,269,3,266,269,0,4,69.5
Whites (Compass Rose Academy),12/30/2021,FC,Homes,F_PROVIDER,5,0,5,5,0,1,5
Whites (Compass Rose Academy),12/30/2021,FC,Placements,F_PLACEMENT,"2,514",0,113,113,"2,401",2,56.5
Whites (Compass Rose Academy),12/30/2021,FC,Medications,F_MEDICATION,"5,001",0,838,838,"4,163",3,279.3
Whites (Compass Rose Academy),12/30/2021,FC,Goals,F_GOAL,"7,910",0,761,761,"7,149",2,380.5
Whites (Compass Rose Academy),12/30/2021,FC,ICD,F_CLIENT,"1,149",0,171,171,978,7,24.4
Whites (Compass Rose Academy),12/30/2021,FC,Case People,F_RELATIONSHIP,"7,648",0,785,785,"6,863",3,261.7
Whites (Compass Rose Academy),12/30/2021,FC,Home People,F_HOUSEMEMBER,"1,031",0,2,2,"1,029",1,2
Whites (Compass Rose Academy),12/30/2021,FC,Professionals to Add…,F_CONTACT,49,0,49,49,0,1,49
Whites (Foster Care),12/30/2021,FC,Clients,F_CLIENT,"9,497",111,"9,386","9,497",0,67,251.1
Whites (Foster Care),12/30/2021,FC,Assign Staff > Clients,F_CLIENT,"1,206",0,780,780,426,23,33.9
Whites (Foster Care),12/30/2021,FC,Homes,F_PROVIDER,622,2,620,622,0,4,157
Whites (Foster Care),12/30/2021,FC,Placements,F_PLACEMENT,"2,514",0,717,717,"1,797",10,71.7
Whites (Foster Care),12/30/2021,FC,Medications,F_MEDICATION,"5,001",0,"1,806","1,806","3,195",20,90.3
Whites (Foster Care),12/30/2021,FC,Goals,F_GOAL,"7,910",0,"3,029","3,029","4,881",6,504.8
Whites (Foster Care),12/30/2021,FC,ICD,F_CLIENT,"1,149",0,80,80,"1,069",4,20
Whites (Foster Care),12/30/2021,FC,Case People,F_RELATIONSHIP,"7,648",0,"2,594","2,594","5,054",20,129.7
Whites (Foster Care),12/30/2021,FC,Home People,F_HOUSEMEMBER,"1,031",0,495,495,536,2,247.5
Whites (Foster Care),12/30/2021,FC,Professionals to Add…,F_CONTACT,49,0,49,49,0,1,49
Whites (Family Preservation),12/30/2021,FC,Clients,F_CLIENT,49,0,49,49,0,1,49
Whites (Family Preservation),12/30/2021,FC,Assign Staff > Clients,F_CLIENT,31,0,17,17,14,1,17
Whites (Family Preservation),12/30/2021,FC,Goals,F_GOAL,"7,910",0,135,135,"7,775",3,45
Whites (Family Preservation),12/30/2021,FC,Case People,F_RELATIONSHIP,"7,648",0,183,183,"7,465",3,61
Whites (Family Preservation),12/30/2021,FC,Professionals to Add…,F_CONTACT,49,0,49,49,0,1,49
Whites (Residential),12/30/2021,FC,Clients,F_CLIENT,"1,466",9,"1,457","1,466",0,20,81.9
Whites (Residential),12/30/2021,FC,Assign Staff > Clients,F_CLIENT,103,0,52,52,51,2,26
Whites (Residential),12/30/2021,FC,Homes,F_PROVIDER,11,0,11,11,0,1,11
Whites (Residential),12/30/2021,FC,Placements,F_PLACEMENT,"2,514",0,836,836,"1,678",14,59.7
Whites (Residential),12/30/2021,FC,Medications,F_MEDICATION,"5,001",0,"2,501","2,501","2,500",11,227.4
Whites (Residential),12/30/2021,FC,Goals,F_GOAL,"7,910",0,"4,127","4,127","3,783",7,589.6
Whites (Residential),12/30/2021,FC,ICD,F_CLIENT,"1,149",0,925,925,224,26,35.6
Whites (Residential),12/30/2021,FC,Case People,F_RELATIONSHIP,"7,648",0,"4,112","4,112","3,536",12,342.7
Whites (Residential),12/30/2021,FC,Home People,F_HOUSEMEMBER,"1,031",0,2,2,"1,029",1,2
Whites (Residential),12/30/2021,FC,Staff Training,F_THERAPIST_TRAINING,"12,548",0,27,27,"12,521",1,27
Whites (Residential),12/30/2021,FC,Professionals to Add…,F_CONTACT,49,0,49,49,0,1,49
Whites (Father Enngagement),12/30/2021,GCM,Clients,F_CLIENT,87,0,87,87,0,1,87
Whites (Father Enngagement),12/30/2021,GCM,Medications,F_MEDICATION,"5,001",1,0,1,"5,000",1,1
Whites (Father Enngagement),12/30/2021,GCM,Goals,F_GOAL,"7,910",0,29,29,"7,881",1,29
Whites (Father Enngagement),12/30/2021,GCM,ICD,F_CLIENT,"1,149",0,2,2,"1,147",1,2
Whites (Father Enngagement),12/30/2021,GCM,Case People,F_RELATIONSHIP,"7,648",0,124,124,"7,524",2,62
Whites (Clinical Services),12/30/2021,GCM,Clients,F_CLIENT,714,0,708,708,6,2,354
Whites (Clinical Services),12/30/2021,GCM,Medications,F_MEDICATION,"5,001","3,328",0,"3,328","1,673",10,"3,328.00"
Whites (Clinical Services),12/30/2021,GCM,Goals,F_GOAL,"7,910",0,"4,868","4,868","3,042",11,442.5
Whites (Clinical Services),12/30/2021,GCM,ICD,F_CLIENT,"1,149",0,"1,095","1,095",54,11,99.5
Whites (Clinical Services),12/30/2021,GCM,Case People,F_RELATIONSHIP,"7,648",0,"4,463","4,463","3,185",8,557.9
